			HEADLINES	HEADLINES	HEADLINES	HEADLINES	HEADLINES	ALL	Job Level	Job Level	Job Level	Job Level	Job Level	Job Level	Industry	Industry	Industry	Industry	Industry	Industry	Industry	Industry	Industry	Industry	Industry	Industry	Industry	Age Generation	Age Generation	Age Generation	Age Generation	Country	Country	Country	Country	Country	Country	Country	Country	Country	Country	Country
Order	Sub-Heading	Measure	Just sharing the text these selections are based on	Key Stat 1 Value	Kay Stat 1 Who	Key Stat 2 Value	Kay Stat 2 Who	AVERAGE	CEO	Senior Executive	Senior Leader	Mid-Level Leader	First Level Supervisor/Manager	Individual Contributor	Communications Services	Consumer Markets	Energy	Financial Services	Government	Healthcare	Industrial	Life Sciences	Not for profit	Professional Services	Sports	Technology	Utility	Gen Z	Millennial	Gen X	Baby Boomers	USA	UK	France	Germany	UAE	Saudi Arabia	Singapore	India	Japan	Australia	Brazil
1	Important factors for new job	Pay and compensation		85%	Average			85%	78%	85%	85%	85%	86%	84%	83%	85%	86%	85%	86%	88%	86%	86%	83%	85%	82%	86%	81%	83%	86%	84%	84%	85%	90%	79%	77%	89%	88%	92%	88%	77%	88%	89%
2	Important factors for new job	Job security		83%	Average			83%	83%	84%	84%	83%	85%	82%	83%	84%	82%	84%	85%	83%	85%	86%	81%	83%	77%	86%	79%	83%	84%	83%	79%	83%	90%	79%	73%	90%	86%	88%	89%	76%	85%	85%
3	Important factors for new job	Employee benefits		81%	Average			81%	82%	81%	81%	83%	84%	78%	80%	81%	82%	85%	82%	82%	81%	82%	78%	80%	77%	84%	80%	81%	84%	79%	73%	82%	86%	76%	69%	88%	88%	91%	89%	71%	80%	87%
4	Important factors for new job	The work itself		80%	Average			80%	87%	81%	79%	80%	83%	77%	80%	80%	81%	82%	79%	83%	81%	81%	78%	80%	78%	84%	75%	79%	82%	79%	78%	81%	89%	76%	74%	86%	84%	85%	85%	61%	83%	78%
5	Important factors for new job	A feeling of being treated fairly and consistently relative to others		79%	Average			79%	83%	80%	78%	79%	81%	77%	79%	79%	80%	80%	80%	82%	79%	79%	76%	80%	75%	82%	76%	78%	80%	78%	77%	79%	87%	73%	69%	83%	83%	87%	84%	64%	83%	84%
6	Important factors for staying in your job	Pay and compensation		82%	Average			82%	83%	82%	81%	83%	84%	79%	82%	82%	83%	85%	82%	82%	83%	82%	78%	81%	79%	84%	79%	81%	84%	81%	81%	82%	88%	77%	73%	89%	85%	89%	88%	70%	83%	86%
7	Important factors for staying in your job	Job security		81%	Average			81%	82%	80%	81%	81%	83%	79%	83%	81%	82%	82%	81%	82%	81%	80%	78%	81%	77%	83%	76%	80%	82%	80%	76%	82%	87%	77%	71%	89%	84%	85%	85%	68%	82%	85%
8	Important factors for staying in your job	Employee benefits		78%	Average			78%	78%	78%	77%	78%	82%	74%	78%	77%	79%	81%	76%	80%	79%	80%	71%	75%	73%	82%	75%	79%	81%	75%	69%	79%	83%	73%	64%	86%	86%	87%	86%	63%	77%	85%
9	Important factors for staying in your job	A feeling of being treated fairly and consistently relative to others		77%	Average			77%	81%	78%	76%	77%	79%	75%	76%	77%	77%	79%	77%	78%	76%	78%	74%	78%	73%	79%	73%	76%	79%	75%	78%	79%	83%	70%	69%	82%	83%	82%	83%	62%	78%	80%
10	Important factors for staying in your job	The work itself		75%	Average			75%	83%	78%	75%	74%	78%	70%	76%	75%	76%	76%	72%	78%	72%	75%	73%	73%	73%	80%	70%	74%	77%	74%	71%	75%	86%	69%	68%	80%	81%	83%	82%	50%	76%	73%
11	Important factors for leaving your job	Poor pay and compensation		73%	Average			73%	78%	73%	73%	73%	76%	71%	74%	74%	72%	76%	72%	76%	74%	75%	69%	75%	69%	73%	70%	71%	76%	71%	69%	74%	81%	67%	65%	79%	79%	80%	77%	58%	75%	77%
12	Important factors for leaving your job	Lack of job security		71%	Average			71%	77%	71%	70%	70%	75%	67%	71%	71%	72%	71%	72%	73%	70%	70%	66%	70%	69%	74%	66%	71%	74%	68%	61%	72%	78%	64%	61%	76%	79%	76%	77%	56%	71%	75%
13	Important factors for leaving your job	Inadequate employee benefits		69%	Average			69%	72%	69%	67%	69%	74%	66%	68%	68%	72%	73%	68%	72%	69%	69%	64%	66%	65%	73%	67%	73%	72%	66%	56%	71%	74%	66%	60%	76%	81%	75%	77%	52%	65%	75%
14	Important factors for leaving your job	Employer's respect for personal priorities outside of work		66%	Average			66%	74%	66%	65%	67%	70%	61%	68%	66%	68%	70%	63%	67%	63%	65%	64%	65%	64%	71%	62%	69%	70%	63%	52%	68%	71%	65%	57%	72%	74%	68%	74%	50%	64%	70%
15	Important factors for leaving your job	The work itself		64%	Average			64%	74%	66%	64%	63%	67%	60%	65%	62%	66%	67%	60%	67%	62%	66%	64%	62%	63%	69%	61%	65%	66%	62%	59%	64%	72%	59%	59%	67%	72%	70%	72%	44%	64%	61%
